Jun 20 07:20:10 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/23, changed state to down
Jun 20 07:20:10 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/19, changed state to up
Jun 20 07:20:11 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/11, changed state to down
Jun 20 07:20:12 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/13, changed state to up
Jun 20 07:20:12 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/11, changed state to down
Jun 20 07:20:12 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to up
Jun 20 07:20:12 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/23, changed state to up
Jun 20 07:20:12 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/21, changed state to down
Jun 20 07:20:13 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:13 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/23, changed state to up
Jun 20 07:20:13 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/21, changed state to down
Jun 20 07:20:14 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:16 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/21, changed state to up
Jun 20 07:20:17 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/19, changed state to down
Jun 20 07:20:17 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/21, changed state to up
Jun 20 07:20:18 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/19, changed state to down
